num_layers,top_k,BLEU,STA,FLU,SEM,J,BLEURT
3,1,0.5928528587928075,0.94,0.6659169,0.9224684408307076,0.8122476438663534,0.11041066324338317
3,2,0.5213675280319027,0.97,0.65486234,0.9087645810842514,0.8049988906762277,-0.007674927059561014
3,3,0.4523498106817375,0.975,0.6672938,0.8956054365634918,0.7930498068495586,-0.0889124252460897
3,4,0.3684404582440046,0.975,0.67182654,0.8818790996074677,0.774429219855054,-0.20356815587729216
3,5,0.30464715593226105,0.98,0.72159886,0.860208820104599,0.7692909679277089,-0.2930098811723292
1,1,0.5635054717288045,0.94,0.66143477,0.9156330397725105,0.8041146562263495,0.07538189258426428
2,1,0.5865926624629054,0.93,0.6690722,0.9196343222260475,0.8070598390955361,0.07289028305560351
3,1,0.5928528587928075,0.94,0.6659169,0.9224684408307076,0.8122476438663534,0.11041066324338317
4,1,0.5966343867912477,0.935,0.66591525,0.9237853264808655,0.8112669928100623,0.11411748250946402
5,1,0.5965112649817007,0.94,0.66775393,0.9238608619570732,0.8136252123598007,0.11615343919023871
6,1,0.597167906557305,0.94,0.6643013,0.9238387972116471,0.8130615959951843,0.112289111148566
7,1,0.5995224299230952,0.945,0.66915923,0.9242158210277558,0.81657949690419,0.11446544600650668
8,1,0.5955395101531346,0.95,0.6716739,0.9238144043087959,0.8182055616780917,0.10530232965946197
9,1,0.5955395101531346,0.95,0.67136246,0.9238150152564049,0.8181433970138232,0.10591325610876083
10,1,0.5967002339511216,0.945,0.6718509,0.9239971035718918,0.8165096514493049,0.11438421979546547
11,1,0.5951992977593167,0.945,0.67203873,0.923591451048851,0.8161658965534733,0.11283743776381015
12,1,0.595421399789038,0.945,0.6723545,0.9236050513386727,0.8162761940989858,0.11217915631830692
