Model,BLEURT,BLEU,STA,FLU,SEM,Overall
DELETE,-0.2369850000474829,0.5036836653565926,0.6184798807749627,0.5259524,0.9074216912293754,0.6348035033825804
BART,0.2596495511168517,0.5618694307428573,0.8926974664679582,0.7746871113777161,0.9232455246850026,0.8090393999482985
T5_Small_Unidir,0.2318817600996501,0.5786088009173419,0.8837555886736215,0.7762997150421143,0.9241041089845308,0.809304760458246
t5_small_unidir,0.2318817600996501,0.5786088009173419,0.8837555886736215,0.7762997150421143,0.9241041089845308,0.809304760458246
t5_small_bidir_noshuf,0.2606636609288068,0.5849753258300705,0.8986587183308494,0.7759667634963989,0.9247703932436674,0.8166059838463672
t5_small_bidir_shuf,0.2513282266230324,0.5822586344019907,0.8837555886736215,0.7850448489189148,0.9254489589910038,0.8120527239318304
t5_small_aug_all,0.26366025437052665,0.5700717927144106,0.8986587183308494,0.7857893705368042,0.9238402062663378,0.8154037612358502
